108	Morgins	1944-01-01		Grand Hotel	Flüchtlingsheim
108	Champéry	1944-11-01		Villa Sévigné	Flüchtlingsheim
109	Moudon	1942-09-01		Bel -  Air	Flüchtlingsheim
109	Champéry	1944-11-01		Villa Sévigné	Flüchtlingsheim
109	St. Cergue	1943-01-01		Auberson	Flüchtlingsheim
110	Prêles	1945-04-01		Mon Souhait	Flüchtlingsheim
110	Clarens	1948-11-01		Mirabeau	Flüchtlingsheim
110	Lugano - Castagnola	1945-10-01		Rheingold	Flüchtlingsheim
110	Lugano - Ruvigliana	1947-01-01		Monte Bré	Flüchtlingsheim
110	Vevey	1962-01-01		Les Bergers du Léman	Altersheim
113	Lausanne-Ouchy	1946-01-01		Tour Haldimand	Auffanglager
113	Clarens	1946-09-05		Beau Site	Flüchtlingsheim
113	Beatenberg	1945-11-01		Schweizerhof	Flüchtlingsheim
119	Trevano (bei Lugano)	1945-08-01		Castello	Schulheim
119	Wallisellen	1946-03-01		NULL	Schul- und Werkstättenlager
119	Rheinfelden	1945-06-01		NULL	Quarantänelager für Rückwanderer
120	Hemberg	1944-01-01		NULL	Auffanglager
120	Fribourg	1944-07-01		La Chassotte	Schulheim
121	Balgrist	1950-01-10		NULL	Krankenhaus
121	Bern	1945-07-07		Tiefenauspital	Krankenhaus
121	Davos	1945-10-09		Parksanatorium	Sanatorium
121	Davos	1946-09-20		Anna Maria	Sanatorium
121	Davos	1948-01-14		Etania	Sanatorium
121	Leysin	1950-06-01		Sanatorium Univérsitaire Suisse	Sanatorium
121	Leysin	1950-10-20		Les Hirondelles	Sanatorium
121	Leysin	1951-01-18		Le Roselier	Sanatorium
121	Leysin	1951-04-17		Mimosa	Sanatorium
121	Davos	1947-10-05		Eugenia	Sanatorium
122	Ampfernhöhe	1942-10-01		NULL	Arbeitslager für Flüchtlinge
122	Engelberg	1944-06-01		Central	Flüchtlingsheim
123	Leysin	1947-05-01		La Valerette	Sanatorium
126	Möhlin	1945-06-01		NULL	Quarantänelager für Rückwanderer
127	Les Avants	1945-04-01		Des Sports	Flüchtlingsheim
127	Brissago	1945-08-16		Grand Hotel	Flüchtlingsheim
129	Adliswil	1942-09-25		NULL	Auffanglager
129	Sumiswald	1943-06-07		Pension Engelberg	Flüchtlingsheim
129	Luzern	1943-09-01		Tivoli	Flüchtlingsheim
130	Thalheim	1940-12-01		NULL	Arbeitslager für Emigranten
133	Montreux	1945-01-01		Les Terrasses	Flüchtlingsheim
133	Fribourg	1943-11-01		La Chassotte	Schulheim
137	Clarens	1944-05-01		Beau Site	Flüchtlingsheim
138	Montana	1944-05-01		NULL	Arbeitslager für Flüchtlinge
138	Arisdorf	1943-07-01		NULL	Arbeitslager für Emigranten
140	Burg - Schloss	1943-08-01		NULL	Arbeitslager für Flüchtlinge
140	Leysin	1943-07-01		Les Arolles	Interniertenheim
142	Vevey	1969-09-10		Les Bergers du Léman	Altersheim
148	La Rosiaz	1943-01-01		Beau Soleil	Flüchtlingsheim
148	Genf	1945-02-01		Frontenex	Heim für Intellektuelle
150	Oberglatt	1940-05-01		NULL	Arbeitslager für Emigranten
150	Locarno	1941-12-01		NULL	Arbeitslager für Flüchtlinge
151	Caux	1944-12-07		Esplanade	Flüchtlingsheim
151	Täsch	1945-01-01		Täschhorn	Flüchtlingsheim
152	Caux	1944-12-07		Esplanade	Flüchtlingsheim
152	Täsch	1945-01-01		Täschhorn	Flüchtlingsheim
156	Diepoldsau	1938-08-09		unbekannt	Emigrantenlager
156	Davesco	1940-12-01		NULL	Arbeitslager für Emigranten
156	Felsberg	1940-05-01		NULL	Arbeitslager für Emigranten
157	Les Geneveys - sur - Coffrane	1942-09-30		NULL	Auffanglager
157	Hedingen	1942-10-15		NULL	Arbeitslager für Flüchtlinge
157	Sierre	1943-03-08		NULL	Arbeitslager für Flüchtlinge
158	Morcote	1945-11-01		Villa Bianchi	Flüchtlingsheim und Werkstätten
158	Prégny	1947-05-19		NULL	Flüchtlingsheim
158	Les Avants	1947-05-04		Grand Hotel	Flüchtlingsheim
161	Büren a/A	1942-01-01		NULL	Arbeitslager für Flüchtlinge
161	Prêles	1943-01-01		Mon Souhait	Flüchtlingsheim
161	Schönengrund	1943-03-01		NULL	Arbeitslager für Emigranten
161	Champéry / Col de Coux	1943-03-15		NULL	Arbeitslager für Flüchtlinge
161	Mezzovico	1943-07-01		NULL	Arbeitslager für Flüchtlinge
162	Brissago	1943-07-01		unbekannt	Flüchtlingsheim
162	Champel	1942-01-01		Villa Hirondelles	unbekannt
164	Zürichhorn	1942-04-01		NULL	Sonderbetrieb
164	Gordola	1941-02-01		NULL	Arbeitslager für Emigranten und Flüchtlinge
164	Sattelegg	1940-09-01		NULL	Arbeitslager für Emigranten
168	Serneus	1944-09-06		Bad	Flüchtlingsheim
168	Unterrealta	1944-09-04		NULL	Interniertenlager
175	Sierre	1944-02-24		NULL	Arbeitslager für Flüchtlinge
175	St. Cergue	1944-03-01		Auberson	Flüchtlingsheim
176	Champéry	1943-09-01		Villa Sévigné	Flüchtlingsheim
177	Heiden	1955-04-27		Wartheim	Kinderheim
181	Zürich	1945-11-01		Mainaustr.33	Flickstube
183	La Rosiaz - Lausanne	1943-08-01		Mont Choisi	Flüchtlingsheim
183	Basel	1945-07-01		Leonhardstr. 28	Flüchtlingsheim
183	Beatenberg	1945-01-01		Jungfraublick	Flüchtlingsheim
185	Basel	1940-11-15		Hammerstrasse	Flüchtlingsheim
185	Bellechasse	1939-10-17		NULL	Strafanstalt
187	Prêles	1943-01-01		Mon Souhait	Flüchtlingsheim
192	Churwalden	1944-06-01		Lindenhof	Interniertenheim
194	Prêles	1943-02-01		Mon Souhait	Flüchtlingsheim
194	Gelterkinden - Waldegg	1943-07-16		NULL	Arbeitslager für Flüchtlinge
195	Champel	1943-02-01		Villa Hirondelles	unbekannt
201	Davos	1952-03-06		Etania	Sanatorium
204	Adliswil	1943-02-01		NULL	Auffanglager
204	St. Cergue	1943-08-01		Observatoire	Flüchtlingsheim
204	Girenbad bei Hinwil	1942-10-01		NULL	Auffanglager
206	Les Avants	1945-02-21		Des Sports	Flüchtlingsheim
206	Prêles	1945-03-21		Mon Souhait	Flüchtlingsheim
206	Lugano - Castagnola	1945-08-01		Rheingold	Flüchtlingsheim
206	Clarens	1948-12-12		Beau Site	Flüchtlingsheim
206	Vevey	1949-01-01		Les Bergers du Léman	Altersheim
206	Brissago	1948-01-01		Grand Hotel	Flüchtlingsheim
208	St. Cergue	1943-08-01		Observatoire	Flüchtlingsheim
208	Les Avants	1942-12-01		Des Sports	Flüchtlingsheim
208	Adliswil	1943-02-01		NULL	Auffanglager
208	Champel	1942-11-01		Villa Hirondelles	unbekannt
212	Arisdorf	1943-10-01		NULL	Arbeitslager für Emigranten
212	Büren a/A	1942-12-01		NULL	Arbeitslager für Flüchtlinge
213	Büsserach	1943-01-01		NULL	Auffanglager
214	Vouvry	1941-02-01		NULL	Arbeitslager für Emigranten
214	Zürichhorn	1942-12-01		NULL	Sonderbetrieb
216	Zürich - Seebach	1946-05-01		NULL	Sonderbetrieb
217	Aeugsterthal	1942-09-17		NULL	Auffanglager
217	Brissago	1943-01-28		unbekannt	Flüchtlingsheim
218	Prêles	1945-04-01		Mon Souhait	Flüchtlingsheim
218	Lugano - Castagnola	1945-08-01		Rheingold	Flüchtlingsheim
218	Belmont	1945-04-01		NULL	Arbeitslager für Flüchtlinge
219	Vevey	1952-01-01		Les Bergers du Léman	Altersheim
227	Zürichhorn	1945-12-01		NULL	Sonderbetrieb
227	Andelfingen	1946-03-01		NULL	Schullager
228	Genf	1946-11-12		Hanoar Hachredi, 5 Av. de Champel	Kinderheim
228	Engelberg	1946-08-14		Central	Flüchtlingsheim
228	Genf	1947-06-09		Diana	Flüchtlingsheim
229	Genf	1946-11-12		Hanoar Hachredi, 5 Av. de Champel	Kinderheim
229	Genf	1947-06-09		Diana	Flüchtlingsheim
229	Engelberg	1946-08-14		Central	Flüchtlingsheim
229	Hilfikon	1945-11-01		Schloss	Schulheim
230	Rovio	1943-12-10		Ala Materna	Flüchtlingsheim
231	Vevey	1981-01-01		Les Bergers du Léman	Altersheim
235	Engelberg	1945-02-08		Regina Titlis	Flüchtlingsheim
235	Brissago	1946-09-01		Grand Hotel	Flüchtlingsheim
235	Les Avants	1945-02-07		Grand Hotel	Flüchtlingsheim
239	Zürich	1944-09-01		NULL	Sonderbetrieb
239	Gempen - Stollen	1944-08-01		NULL	Arbeitslager für Emigranten
239	Schauenburg - Bad	1944-03-01		NULL	Arbeitslager für Emigranten
240	Arisdorf	1943-04-01		NULL	Arbeitslager für Emigranten
240	Olsberg	1943-11-01		NULL	Arbeitslager für Flüchtlinge
241	Brissago	1943-12-21		Grand Hotel	Flüchtlingsheim
241	Champéry	1943-04-01		Villa Sévigné	Flüchtlingsheim
241	Spiez	1945-02-01		Bubenberg	Arbeitslager für Flüchtlinge
244	La Rosiaz	1943-11-27		Beau Soleil	Flüchtlingsheim
244	Bürten	1944-04-24		NULL	Arbeitslager für Flüchtlinge
244	Arisdorf	1944-07-25		NULL	Arbeitslager für Emigranten
244	Serneus	1944-11-15		Bad	Flüchtlingsheim
245	Serneus	1944-11-15		Bad	Flüchtlingsheim
245	La Rosiaz	1943-11-27		Beau Soleil	Flüchtlingsheim
247	Zürichhorn	1944-11-01		NULL	Sonderbetrieb
247	Wallisellen	1945-02-01		NULL	Schul- und Werkstättenlager
249	Sierre	1944-01-01		NULL	Arbeitslager für Flüchtlinge
252	Hasenberg	1944-03-01		NULL	Arbeitslager für Flüchtlinge
252	Serneus	1945-01-01		Bad	Flüchtlingsheim
253	Zugerberg	1946-02-01		Felsenegg	Kinderheim
253	Bex-les-Bains	1946-05-01		Ascher	Kinderheim
256	Bellinzona	1943-12-08		Casa d' Italia	Auffanglager
257	Büren a/A	1942-10-14		NULL	Arbeitslager für Flüchtlinge
257	Tänikon	1944-04-01		NULL	Freiplatzheim
260	Ampfernhöhe	1943-10-01		NULL	Arbeitslager für Flüchtlinge
262	Valbella - Lenzerheide	1945-10-01		Waldhaus	Flüchtlingsheim
263	Prêles	1943-03-01		Mon Souhait	Flüchtlingsheim
264	Täsch	1945-05-01		Täschhorn	Flüchtlingsheim
264	Rovio	1945-01-01		Ala Materna	Flüchtlingsheim
266	Les Avants	1942-12-01		Des Sports	Flüchtlingsheim
266	Büren a/A	1942-12-01		NULL	Arbeitslager für Flüchtlinge
267	Les Avants	1942-11-20		Des Sports	Flüchtlingsheim
269	Winterthur	1940-10-01		Schulhaus	Hochschullager
270	Möhlin	1944-06-01		NULL	Arbeitslager für Flüchtlinge
270	Gelterkinden - Waldegg	1944-03-27		NULL	Arbeitslager für Flüchtlinge
271	Büren a/A	1942-10-09		NULL	Arbeitslager für Flüchtlinge
282	Oberglatt	1940-09-01		NULL	Arbeitslager für Emigranten
282	Zürichhorn	1942-05-01		NULL	Sonderbetrieb
282	Thalheim	1942-09-01		NULL	Arbeitslager für Emigranten
282	Sierre	1943-02-01		NULL	Arbeitslager für Flüchtlinge
282	Andelfingen	1944-12-01		NULL	Arbeitslager für Flüchtlinge
284	Gossau	1940-04-01		NULL	Emigrantenheim
285	Hasenberg	1942-11-04		NULL	Arbeitslager für Flüchtlinge
286	Hasenberg	1942-11-04		NULL	Arbeitslager für Flüchtlinge
287	Lugano-Paradiso	1945-09-01		De La Paix	Flüchtlingslager
287	Lugano - Ruvigliana	1946-02-01		Monte Bré	Flüchtlingsheim
289	Vevey	1964-01-01		Les Bergers du Léman	Altersheim
294	Vevey	1979-01-01		Les Bergers du Léman	Altersheim
294	Lostorf	1943-09-01		NULL	Flüchtlingslager
294	La Rosiaz - Lausanne	1945-11-01		Mont Choisi	Flüchtlingsheim
295	La Rosiaz - Lausanne	1945-11-01		Mont Choisi	Flüchtlingsheim
295	Lostorf	1943-09-01		NULL	Flüchtlingslager
296	Büren a/A	1942-10-14		NULL	Arbeitslager für Flüchtlinge
296	Lugano-Paradiso	1945-11-01		Flora	Flüchtlingsheim
296	Tänikon	1943-12-01		NULL	Freiplatzheim
297	Tänikon	1943-12-01		NULL	Freiplatzheim
297	Lugano-Paradiso	1945-11-01		Flora	Flüchtlingsheim
299	Lausanne-Ouchy	1943-01-25		Tour Haldimand	Auffanglager
304	Vevey	1987-02-01		Les Bergers du Léman	Altersheim
305	Olsberg	1944-06-09		NULL	Arbeitslager für Flüchtlinge
306	Olsberg	1943-05-12		NULL	Arbeitslager für Flüchtlinge
306	Arisdorf	1943-07-29		NULL	Arbeitslager für Emigranten
306	Lugano - Ruvigliana	1944-01-05		Monte Bré	Flüchtlingsheim
306	Lugano-Paradiso	1944-04-20		Post	Flüchtlingsheim
306	Lugano-Paradiso	1945-03-16		Flora	Flüchtlingsheim
306	Witzwil	1942-07-31		Lindenhof	Strafanstalt
306	Raron	1942-11-26		NULL	Arbeitslager für Flüchtlinge
306	Hedingen	1943-03-24		NULL	Arbeitslager für Flüchtlinge
307	Sumiswald	1943-03-24		Pension Engelberg	Flüchtlingsheim
307	Lugano-Paradiso	1945-05-17		Flora	Flüchtlingsheim
307	Lugano - Ruvigliana	1944-01-01		Monte Bré	Flüchtlingsheim
307	Liestal / Bienenberg	1942-11-26		Kurhaus Solbad	Flüchtlingsheim
307	Rämismühle-Turbenthal	1942-06-17		Friedheim	Erholungsheim
312	Vevey	1981-06-01		Les Bergers du Léman	Altersheim
318	Zürichhorn	1942-01-01		NULL	Sonderbetrieb
318	Gordola	1941-03-13		NULL	Arbeitslager für Emigranten und Flüchtlinge
322	Neuhausen	1943-03-01		Bellevue	Flüchtlingsheim
322	Prêles	1943-01-01		Baslerheim	Flüchtlingsheim
324	Zürich	1945-11-01		Mainaustr.33	Flickstube
328	Bex-les-Bains	1946-01-15		Ascher	Kinderheim
329	Adliswil	1945-04-01		NULL	Auffanglager
329	Chesières	1945-06-01		Chamossaire	Flüchtlingsheim
330	Adliswil	1944-06-26		NULL	Auffanglager
330	Churwalden	1944-01-01		Krone	Diätstation
331	Möhlin	1944-01-01		NULL	Arbeitslager für Flüchtlinge
332	St. Gallen	1945-02-07		NULL	Auffanglager
332	Lausanne-Ouchy	1945-02-13		Tour Haldimand	Auffanglager
332	Corbeyrier	1945-09-01		Viktoria	Flüchtlingsheim
332	Clarens	1946-01-01		Beau Site	Flüchtlingsheim
332	Beatenberg	1945-11-01		Schweizerhof	Flüchtlingsheim
335	Birmensdorf	1946-03-07		NULL	Arbeitslager für Flüchtlinge
335	Bonstetten	1944-06-01		NULL	Arbeitslager für Flüchtlinge
335	Territet	1945-11-01		La Colline	Flüchtlingsheim
335	Epalinges	1945-08-01		Clinique Sylvana	Rekonvaleszenten Station
335	St. Cergue	1944-10-01		Observatoire	Flüchtlingsheim
335	Les Avants	1944-04-01		Des Sports	Flüchtlingsheim
336	Finhaut	1945-03-19		Beau Séjour	Flüchtlingsheim
336	Bex-les-Bains	1942-10-01		NULL	Auffanglager
336	Neuchâtel	1944-12-01		NULL	Flüchtlingsheim
338	Felsberg	1940-06-29		NULL	Arbeitslager für Emigranten
339	Olsberg	1944-03-27		NULL	Arbeitslager für Flüchtlinge
339	Rikon	1943-10-25		NULL	Auffanglager
341	Zürichhorn	1946-05-01		NULL	Umschulungslager
341	Schauenburg - Bad	1941-04-30		NULL	Arbeitslager für Emigranten
342	Montreux	1944-01-01		Belmont	Flüchtlingsheim
342	Kriens	1944-06-01		Sonnenberg	Flüchtlingsheim
342	La Rosiaz - Lausanne	1944-12-01		Mont Choisi	Flüchtlingsheim
342	Territet	1945-02-01		Les Terrasses	Flüchtlingsheim
343	Hedingen	1944-08-01		NULL	Arbeitslager für Flüchtlinge
343	Montreux	1944-01-01		Belmont	Flüchtlingsheim
344	Les Avants	1945-05-01		Grand Hotel	Flüchtlingsheim
344	Clarens	1945-09-01		Mirabeau	Flüchtlingsheim
344	Montreux	1945-10-02		Les Terrasses	Flüchtlingsheim
345	La Rosiaz - Lausanne	1945-06-01		Mont Choisi	Flüchtlingsheim
345	Balerna	1945-03-01		NULL	Flüchtlingslager
345	Finhaut	1945-02-01		Bristol	Flüchtlingsheim
345	Sierre	1944-08-01		NULL	Arbeitslager für Flüchtlinge
345	Chailly	1944-09-01		Montbrillant	Flüchtlingsheim
346	Adliswil	1944-05-01		NULL	Auffanglager
346	Clarens	1944-07-01		Mirabeau	Flüchtlingsheim
346	La Rosiaz - Lausanne	1945-06-01		Mont Choisi	Flüchtlingsheim
346	Finhaut	1945-02-01		Bristol	Flüchtlingsheim
346	Mendrisio	1944-02-01		NULL	Mütterheim
347	Luzern	1945-05-01		Tivoli	Flüchtlingsheim
347	Balerna	1945-03-01		NULL	Flüchtlingslager
347	Lugano	1945-04-01		Majestic	Flüchtlingslager
350	Krinau	1956-12-01		Hotel Rössli	Ungarnflüchtlinge
351	Basel	1939-11-01		Hammerstrasse	Flüchtlingsheim
352	Basel	1939-11-01		Hammerstrasse	Flüchtlingsheim
361	Hedingen	1945-11-01		NULL	Arbeitslager für Flüchtlinge
367	Engelberg	1945-02-07		Regina Titlis	Flüchtlingsheim
372	Girenbad bei Hinwil	1942-11-01		NULL	Auffanglager
372	St. Cergue	1943-07-19		Auberson	Flüchtlingsheim
374	Wallisellen	1946-11-01		NULL	Schul- und Werkstättenlager
376	Davos	1947-10-01		Eugenia	Sanatorium
376	Davos	1948-08-01		Etania	Sanatorium
376	Trevano (bei Lugano)	1945-11-01		Castello	Schulheim
376	Birmensdorf	1946-02-11		NULL	Schullager
376	Dietikon	1946-08-05		NULL	Schullager für Flüchtlinge
376	Davos	1948-11-23		Eugenia	Sanatorium
376	Davos	1949-06-15		Mon Repos	Sanatorium
376	Prégny	1946-07-31		NULL	Schulheim
379	Möhlin	1943-11-29		NULL	Arbeitslager für Flüchtlinge
385	Martigny	1943-01-01		NULL	Auffanglager
385	Champéry	1943-07-01		Villa Sévigné	Flüchtlingsheim
385	Lugano-Paradiso	1945-11-01		Flora	Flüchtlingsheim
385	Lugano - Ruvigliana	1946-05-01		Monte Bré	Flüchtlingsheim
385	Brissago	1947-10-01		Grand Hotel	Flüchtlingsheim
388	Sattelegg	1940-06-19		NULL	Arbeitslager für Emigranten
