Villars	46.29854	7.05527
Mezzovico	46.0931375	8.9228556
St. Niklausen	46.6932323	7.8364878
Gütsch	47.1151038	8.3210479
Basel	47.5595986	7.5885761
Petit-Saconnex	46.2168876	6.130688
Birmensdorf	47.35367	8.43714
Geisshof - Bremgarten	47.3322961	8.3587401
Büsserach	47.391439	7.5399922
Zürich - Wollishofen	47.3478005	8.5335226
Bad Lostorf	47.3927209	7.9381142
Les Avants sur Montreux	46.45322	6.9428
Engelberg	46.8200266	8.4069918
Cudrefin	46.9529982	7.0231305
Lenzburg	47.3904443	8.1721545
Raron	46.3090067	7.80016
Adliswil	47.3124347	8.5270459
Lugano - Ruvigliana	46.012324	8.971355
Rotkreuz	47.1410511	8.4298274
Thorberg	47.0009528	7.5650619
Gossau	47.4155608	9.248852
Pont de la Morge s / Sion 	46.224796	7.313483
Chalais	45.272855	0.039542
Vevey	46.4628333	6.8419192
Baggwil - Seedorf	47.0295067	7.3160225
Zürich	47.3768866	8.541694
Rikon	47.44521	8.79801
Cassarate - Lugano	46.006424	8.970191
Wallisellen	47.4156189	8.5889722
Seengen	47.3267872	8.2054516
Chur	46.8507835	9.5319859
Stäfa	47.2392343	8.7351356
Jakobsbad	47.5092445	8.9480645
Gelterkinden - Waldegg	47.4928921	7.852398
Celerina	46.5123333	9.8589518
Ste. Croix	45.0497844	-92.3875695
Chavannes-de-Bogis	46.3435262	6.1621477
Moudon	46.6698891	6.7975224
Bern	46.9479739	7.4474468
Thalheim	50.6991692	12.8474361
Albis	47.2877778	8.51
Cresciano	46.280577	9.0049324
Bad Ragaz	47.0034141	9.5011062
Somvix	46.7278608	8.9383016
La Rosiaz - Lausanne	46.5205474	6.6612619
Brütten	47.4730927	8.6778198
Bürten	47.3761486	7.6887502
Kloten	47.4495116	8.5821648
Chailly	46.4530668	6.8919334
Winterthur - Wülflingen	47.5091076	8.6904167
Sirnach	47.4618426	8.9968358
Chesières	46.2041473	6.8859017
Visp	46.2947277	7.8821204
Fribourg	46.8064773	7.1619719
Andelfingen	47.5948288	8.6789566
Churwalden	46.7809052	9.5434284
Heiden	51.8255419	6.9359164
Trogen	50.3635775	11.9528311
Martigny	46.1049798	7.0755334
Murimoos	47.2958584	8.3358746
Diepoldsau	47.385988	9.6547802
Zürich - Tiefenbrunnen	47.3500605	8.56131
Glion	46.77421	9.20474
Aigle	46.3190253	6.970566
Genf - Champel	46.1896788	6.1575397
Chiasso	45.8366999	9.0246111
Bäretswil	47.3378619	8.8528619
Baldingen	47.55505	8.31702
Ruvigliana	46.012324	8.971355
Tänikon	47.4796906	8.9063451
Krinau	47.3173506	9.0497485
Kemleten	47.4494826	8.7188565
Bremgarten	47.3491774	8.3397905
Gempen - Plateau	47.466256	7.664098
Granges p. Sion	52.6598698	-7.26245
Birmensdorf   / Aesch 	47.3368912	8.4427102
Aegeri	47.1368093	8.5830915
Balsthal	47.3095856	7.6883283
Poschiavo	46.3239301	10.0573467
Interlaken	46.6863481	7.8632049
Lugano-Paradiso	45.9891759	8.9465252
Neukirch 	47.6584035	9.7035594
Vaumarcus	46.8781484	6.7550836
Rovina	49.1254087	16.6687825
Augst	47.53389	7.72135
Weggis	47.0338792	8.425278
Dietikon	47.4053885	8.39977
Mont Pélérin	46.496944	6.819167
Wiesen	47.7377921	16.339096
Les Geneveys - sur  - Coffrane	47.01735	6.85254
Grub	50.2278016	11.0222093
Baden	40.6350668	-80.2281159
Breganzona	46.0074649	8.9287679
Flims - Waldhaus	46.82735	9.28848
Porrentruy	47.416647	7.0765657
Walzenhausen	47.4513643	9.6023288
Herisau	47.3857009	9.2798472
Champéry	46.1816543	6.8747591
Corbeyrier	46.3491052	6.9598484
Oberglatt	47.4766643	8.5194782
La Chaux-de-Fonds	47.1034892	6.8327838
Riehen bei  Basel	47.5848274	7.6499111
Winterthur	47.4988196	8.7236889
Magden	47.5266505	7.814835
Rabius	46.7342377	8.9588146
Turbenthal	47.4354	8.84749
Walenstadt	47.12398	9.31603
Lostorf	47.3842634	7.9489303
Sattelegg	47.1273	8.84662
Davesco	46.0371639	8.9803742
Gurnigelbad	46.7611642	7.4445527
Blonay	46.4647104	6.8946536
Gryon sur Bex	46.2743322	7.0538105
Saanen	46.4741066	7.2854921
Münchwilen	47.4777116	8.9976291
Kappel am Albis	47.2273614	8.5268129
Huémoz s/ Ollon	46.292425	7.028818
Aeugst  am Alibis	47.2677487	8.4852115
Champéry / Col de Coux	46.1502	6.79282
Lausanne	46.5196535	6.6322734
Zweidlen - Weiach	47.5577475	8.4945679
Davos - Platz	46.7947955	9.8162434
Herznach	47.4742674	8.0507173
Herzogenbuchsee	47.189468	7.7077698
Ascona	46.1615793	8.7750131
Tamins	46.8280926	9.4063148
Davos - Dorf	46.8027453	9.8359701
St. Niklaus	46.1762332	7.8045917
Les Chevalleyres	46.4771074	6.8959938
Saas	46.9110687	9.807416
Hilfikon	47.3331334	8.2465197
Lauterbach / Oftringen	47.3228773	7.9286785
Grand Lancy	46.1781048	6.1233726
Lajoux	46.37446	5.972055
Oberhelfenschwil	47.3540918	9.1129175
Morgins	46.2382	6.8519
Prêles	47.0994968	7.130459
Davos	46.8027453	9.8359701
Vouvry	46.3363829	6.8910112
Ulisbach/Wattwil	47.286299	9.100917
Lengnau	47.18076	7.3692807
Schwendibach/Thun	46.7751149	7.6632737
Nussbaumen	47.6260107	8.8287677
Genf	46.2043907	6.1431577
Mont Pélerin	46.496944	6.819167
Olsberg	51.3556649	8.4801828
Yverdon	46.7784736	6.641183
Ennenda	47.0338781	9.0775529
Unteraegeri	47.1368093	8.5830915
Leysin-Les Diablerets	46.3466108	7.0155219
Speicher	49.9361405	6.6374691
Büren a/A	51.55092	8.5597678
Montreux	46.4312213	6.9106799
Pont - Céard p. Versoix	46.2881327	6.1621363
Sumiswald	47.0284465	7.7446642
Unterrealta	46.7570775	9.4211036
Chardonnes sur Vevey	46.4806514	6.7857606
Felsberg	51.1363534	9.4191818
Zugerberg	47.1391	8.53768
Chésières	46.2041473	6.8859017
Salgesch	46.3117718	7.5704709
Sordel	45.402337	4.498825
Paradiso - Lugano	45.9907174	8.9452618
Zofingen	47.2888449	7.9447619
Baugy	47.08103	2.7282449
Bellechasse	29.8549287	-89.9906253
Beatenberg	46.7035407	7.8095511
Girenbad	47.30957	8.87265
Agnuzzo	45.9940883	8.9156468
Bourrignon	47.3967887	7.244786
Château-d' Oex	46.4715174	7.1260114
Aadorf	47.4884348	8.9035411
Girenbad bei Hinwil	47.30957	8.87265
Randa	39.5264417	2.915879
Medoscio	46.1816817	8.903175
Duvin	46.7149943	9.2116628
Allerheiligenberg	51.1033622	5.1904746
Chamby	46.4492037	6.9138696
Rämismühle-Turbenthal	47.4354	8.84749
Le Chaluet	47.244921	7.396008
Leysin 	46.3435634	7.012033
Buchs	47.1655403	9.4708594
Eggiwil - Siehen	46.84027	7.79592
Lungern	46.7858188	8.159704
Epalinges	46.5488573	6.674199
Oberglatt - Elekt.	47.4766643	8.5194782
Mendrisio	45.8713339	8.9841329
Bellinzona	46.1946216	9.0244124
Caux	43.503448	3.368448
Neuhausen	48.6820992	9.2758255
Brissago	46.1200438	8.7112657
Baraccamenti di Gudo-TI	46.174232	8.9489996
Puidoux	46.4988452	6.7691772
Fällanden	47.3706194	8.6388249
Trevano (bei Lugano)	46.0287548	8.9617594
Lausanne-Ouchy	46.510155	6.626487
Schauenburg - Bad	47.4953726	7.6814601
Samedan	46.4388267	9.8712089
Arlesheim	47.499576	7.6192212
St. Margarethen	53.8908692	9.2559123
Arth am See	47.064709	8.522324
Bémont	49.2588549	2.967339
Granges - Lens	46.2643669	7.4891517
Ambri - Piotta	46.510617	8.690151
Monthey	46.2521873	6.9469598
St. Cergue	46.4460412	6.1581382
Zugerberg ZG	47.1391	8.53768
Zürich - Seebach	47.4215556	8.5383447
